"No.","Time","Source","Destination","Protocol","Length","Info"
"1127","10.755815","149.137.44.121","192.168.43.100","UDP","313","8801  >  63805 Len=271"
"1128","10.756202","149.137.44.121","192.168.43.100","UDP","307","8801  >  63805 Len=265"
"1129","10.756202","149.137.44.121","192.168.43.100","UDP","293","8801  >  63805 Len=251"
"1130","10.759529","149.137.44.121","192.168.43.100","UDP","362","8801  >  63805 Len=320"
"1131","10.759802","192.168.43.100","149.137.44.121","UDP","123","63805  >  8801 Len=81"
"1132","10.759820","149.137.44.121","192.168.43.100","UDP","340","8801  >  63805 Len=298"
"1133","10.759820","149.137.44.121","192.168.43.100","UDP","123","8801  >  63804 Len=81"
"1134","10.759820","149.137.44.121","192.168.43.100","UDP","355","8801  >  63805 Len=313"
"1135","10.765676","149.137.44.121","192.168.43.100","UDP","366","8801  >  63805 Len=324"
"1136","10.773111","149.137.44.121","192.168.43.100","TLSv1.2","133","Application Data"
"1137","10.773212","192.168.43.100","149.137.44.121","TCP","54","61943  >  443 [ACK] Seq=2067 Ack=1425 Win=511 Len=0"
"1138","10.773421","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1139","10.773555","192.168.43.100","149.137.44.121","TLSv1.2","104","Application Data"
"1140","10.786795","149.137.44.121","192.168.43.100","UDP","287","8801  >  63805 Len=245"
"1141","10.813851","149.137.44.121","192.168.43.100","UDP","360","8801  >  63805 Len=318"
"1142","10.814125","149.137.44.121","192.168.43.100","UDP","133","8801  >  63804 Len=91"
"1143","10.814420","192.168.43.100","149.137.44.121","UDP","151","63804  >  8801 Len=109"
"1144","10.817251","149.137.44.121","192.168.43.100","TCP","54","443  >  61943 [ACK] Seq=1425 Ack=2117 Win=38694 Len=0"
"1145","10.823944","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1146","10.833942","149.137.44.121","192.168.43.100","UDP","336","8801  >  63805 Len=294"
"1147","10.834236","149.137.44.121","192.168.43.100","UDP","123","8801  >  63805 Len=81"
"1148","10.834531","192.168.43.100","149.137.44.121","UDP","180","63804  >  8801 Len=138"
"1149","10.855664","149.137.44.121","192.168.43.100","UDP","324","8801  >  63805 Len=282"
"1150","10.867908","149.137.44.121","192.168.43.100","UDP","321","8801  >  63805 Len=279"
"1151","10.876016","149.137.44.121","192.168.43.100","UDP","133","8801  >  63805 Len=91"
"1152","10.876441","192.168.43.100","149.137.44.121","UDP","151","63805  >  8801 Len=109"
"1153","10.886062","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1154","10.896910","149.137.44.121","192.168.43.100","UDP","344","8801  >  63805 Len=302"
"1155","10.934861","149.137.44.121","192.168.43.100","UDP","336","8801  >  63805 Len=294"
"1156","10.935221","149.137.44.121","192.168.43.100","UDP","324","8801  >  63805 Len=282"
"1157","10.945529","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1158","10.963893","149.137.44.121","192.168.43.100","UDP","307","8801  >  63805 Len=265"
"1159","10.980916","149.137.44.121","192.168.43.100","UDP","305","8801  >  63805 Len=263"
"1160","11.000874","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1161","11.053397","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1162","11.106645","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1163","11.116526","192.168.43.100","149.137.44.121","UDP","180","63804  >  8801 Len=138"
"1164","11.148953","149.137.44.121","192.168.43.100","UDP","312","8801  >  63805 Len=270"
"1165","11.149889","149.137.44.121","192.168.43.100","UDP","323","8801  >  63805 Len=281"
"1166","11.149889","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"1167","11.149889","149.137.44.121","192.168.43.100","UDP","325","8801  >  63805 Len=283"
"1168","11.149889","149.137.44.121","192.168.43.100","UDP","319","8801  >  63805 Len=277"
"1169","11.149889","149.137.44.121","192.168.43.100","UDP","309","8801  >  63805 Len=267"
"1170","11.149889","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"1171","11.149889","140.82.113.26","192.168.43.100","TLSv1.2","80","Application Data"
"1172","11.149889","149.137.44.121","192.168.43.100","UDP","316","8801  >  63805 Len=274"
"1173","11.149889","149.137.44.121","192.168.43.100","UDP","308","8801  >  63805 Len=266"
"1174","11.149889","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"1175","11.150341","192.168.43.100","149.137.44.121","UDP","115","63805  >  8801 Len=73"
"1176","11.150523","192.168.43.100","140.82.113.26","TLSv1.2","84","Application Data"
"1177","11.150742","149.137.44.121","192.168.43.100","UDP","281","8801  >  63805 Len=239"
"1178","11.150742","149.137.44.121","192.168.43.100","UDP","242","8801  >  63805 Len=200"
"1179","11.194260","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1180","11.204734","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1181","11.257448","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1182","11.264040","149.137.44.121","192.168.43.100","UDP","226","8801  >  63805 Len=184"
"1183","11.282936","149.137.44.121","192.168.43.100","UDP","147","8801  >  63805 Len=105"
"1184","11.283241","140.82.113.26","192.168.43.100","TCP","54","443  >  61944 [ACK] Seq=27 Ack=31 Win=1602 Len=0"
"1185","11.293858","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1186","11.294197","149.137.44.121","192.168.43.100","UDP","192","8801  >  63805 Len=150"
"1187","11.294197","149.137.44.121","192.168.43.100","UDP","212","8801  >  63805 Len=170"
"1188","11.294197","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1189","11.299064","149.137.44.121","192.168.43.100","UDP","364","8801  >  63805 Len=322"
"1190","11.299064","149.137.44.121","192.168.43.100","UDP","293","8801  >  63805 Len=251"
"1191","11.299064","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1192","11.299064","149.137.44.121","192.168.43.100","UDP","367","8801  >  63805 Len=325"
"1193","11.309296","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
